Name,Category,Classification,Primary_action,Secondary_action1,Secondary_action2,Primary_muscle,Synergist1,Synergist2,Equipment1,Equipment2,Media,Instructions
Shoulder Press - Dumbbell - Half-kneeling - Single-Arm,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Dumbbell,,,
Shoulder Press - Dumbbell - Seated - Neutral,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Dumbbell,,,
Shoulder Press - Dumbbell - Seated - Pronated,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Dumbbell,,,
Shoulder Press - Dumbbell - Seated - Single-Arm,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Dumbbell,,,
Shoulder Press - Dumbbell - Standing - Alternating,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Dumbbell,,,
Shoulder Press - Dumbbell - Standing - Neutral,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Dumbbell,,,
Shoulder Press - Dumbbell - Standing - Pronated,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Dumbbell,,,
Shoulder Press - Dumbbell - Standing - Single-Arm,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Dumbbell,,,
Shoulder Press - Kettlebell,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Kettlebell,,,
Shoulder Press - Kettlebell - Half-kneeling - Single-Arm,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Kettlebell,,,
Shoulder Press - Kettlebell - Seated - Neutral,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Kettlebell,,,
Shoulder Press - Kettlebell - Seated - Pronated,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Kettlebell,,,
Shoulder Press - Kettlebell - Seated - Single-Arm,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Kettlebell,,,
Shoulder Press - Kettlebell - Standing - Neutral,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,Triceps Brachii,Kettlebell,,,
Shoulder Press - Kettlebell - Standing - Pronated,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,,Kettlebell,,,
Shoulder Press - Kettlebell - Standing - Single-Arm,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,,Kettlebell,,,
Shoulder Press - Leverage,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,,Deltoids,Triceps,,Machine,,,
Shoulder Press - Machine - Seated,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,,Shoulder Press Machine,,,
Shoulder Press - Machine - Standing,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,,Shoulder Press Machine,,,
Shoulder Press - Smith Machine - Seated,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,,Smith Machine,,,
Shoulder Press - Smith Machine - Standing,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,,Smith Machine,,,
Shoulder Press - With Band,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Extension,Scapular Upward Rotation,Deltoids,Triceps,,Band,,,
Single-Arm Kettlebell Jerk,Upperbody Vertical Push,Olympic Lift,Shoulder Abduction,Hip Extension,Knee Extension,Glutes,Quadriceps,Anterior Deltoid,Kettlebell,,,
Single-Arm Kettlebell Military Press To The Side,Upperbody Vertical Push,Olympic Lift,Shoulder Abduction,Hip Extension,Knee Extension,Glutes,Quadriceps,Anterior Deltoid,Kettlebell,,,
Single-Arm Kettlebell Para Press,Upperbody Vertical Push,Olympic Lift,Shoulder Abduction,Hip Extension,Knee Extension,Glutes,Quadriceps,Anterior Deltoid,Kettlebell,,,
Single-Arm Kettlebell Push Press,Upperbody Vertical Push,Olympic Lift,Shoulder Abduction,Hip Extension,Knee Extension,Glutes,Quadriceps,Anterior Deltoid,Kettlebell,,,
Single-Arm Kettlebell Split Jerk,Upperbody Vertical Push,Olympic Lift,Shoulder Abduction,Hip Extension,Knee Extension,Anterior Deltoid,Glutes,Quadriceps,Kettlebell,,,
Single-Arm Kettlebell Split Snatch,Upperbody Vertical Push,Olympic Lift,Shoulder Abduction,Hip Extension,Knee Extension,Glutes,Hamstrings,Quadriceps,Kettlebell,,,
Split Jerk,Upperbody Vertical Push,Olympic Lift,Shoulder Abduction,Hip Extension,Knee Extension,Anterior Deltoid,Glutes,Quadriceps,Barbell,,,
Upright Row - Band,Upperbody Vertical Push,Isolation,Scapular Elevation,Shoulder Abduction,,Trapezius,Deltoid,,Band,,,
Upright Row - Barbell,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Flexion,Scapular Upward Rotation,Deltoids,,,Barbell,,,
Upright Row - Dumbbell,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Flexion,Scapular Upward Rotation,Deltoids,,,Dumbbell,,,
Upright Row - Dumbbell - Single-Arm,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Flexion,Scapular Upward Rotation,Deltoids,,,Dumbbell,,,
Upright Row - Smith Machine,Upperbody Vertical Push,Compound,Shoulder Abduction,Elbow Flexion,Scapular Upward Rotation,Deltoids,,,Smith Machine,,,
